Makita Werkzeug Ges.m.b.H.                                   UIDNr: AT414679800;;;;;;;;;;;;;
Kolpingstrasse 13                                            ARA-LizenzNr.: 2516;;;;;;;;;;;;;
1230 Vienna - AUSTRIA;;;;;;;;;;;;;
;;;;;;;;;;;;;
ETD:;;;;;;;;;;;;;
ETA:;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
PID;PVEND;PORD;PLINE;I1DES1;PPROD;IDSCE;PQORD;PUM;I01DLOC;ENTRYDATE;DUEDATE;PECST;TOTAL
PO;100;27398;1;;638675-1;LEAD UNIT;5;PC;S3A3E2;20160503;20160912;0,99;4,95
PO;100;27398;2;;638847-8;TERMINAL UNIT;5;PC;V6A4H1;20160503;20160912;6,15;30,75
PO;100;27398;3;;638855-9;LEAD UNIT;5;PC;RI1A03;20160503;20160912;9,07;45,35
PO;100;27398;4;;643755-0;HOLDER CAP;10;PC;RC1C17;20160503;20160912;0,15;1,5
PO;100;27398;5;;643765-7;BRUSH HOLDER;5;PC;RN2A06;20160503;20160912;0,96;4,8
PO;100;27398;6;;643954-4;HOLDER CAP;300;PC;RH3C37;20160503;20160912;0,17;51
PO;100;27398;7;;644812-7;TERMINAL;10;PC;EEE;20160503;20160912;3,1;31
PO;100;27398;8;;650226-0;SWITCH  TG823AB-2  new;20;PC;M/D9E1;20160503;20160912;6,99;139,8
PO;100;27398;9;;650500-6;SWITCH    new;20;PC;M/B9A1;20160503;20160912;9,31;186,2
PO;100;27398;10;;650504-8;SWITCH    TG55B-142;10;PC;M/A3C2;20160503;20160912;9,79;97,9
PO;100;27398;11;;651239-4;SWITCH SGES206C;20;PC;M/D4D2;20160503;20160912;1,45;29
PO;100;27398;12;;651268-7;SWITCH    SGEL206C-2  new;10;PC;M/A2C1;20160503;20160912;1,29;12,9
PO;100;27398;13;;651430-4;SWITCH ALD164;10;PC;M/F2C1;20160503;20160912;2,33;23,3
PO;100;27398;14;;651572-4;SWITCH    SL220SD-19;10;PC;M/B5B1;20160503;20160912;5,76;57,6
PO;100;27398;15;;651942-7;SWITCH V15-1A6-IN;20;PC;M/D4C1;20160503;20160912;1,13;22,6
PO;100;27398;16;;652102-4;HEX. NUT M12;5;PC;S8A5C2;20160503;20160912;0,1;0,5
PO;100;27398;17;;681642-5;INSULATION WASHER;10;PC;RK3B18;20160503;20160912;1,11;11,1
PO;100;27398;18;;681649-1;INSULATION WASHER;10;PC;RL1A43;20160503;20160912;0,13;1,3
PO;100;27398;19;;688174-3;MAGNET SLEEVE;40;PC;RJ2B39;20160503;20160912;0,4;16
PO;100;27398;20;;911114-9;PAN HEAD SCREW   M4x10;20;PC;XL1A46;20160503;20160912;0,02;0,4
PO;100;27398;21;;922262-9;HEX. SOCKET HEAD BOLT M5;40;PC;RK3B02;20160503;20160912;0,07;2,8
PO;100;27398;22;;941101-4;FLAT WASHER  5;40;PC;RK2A04;20160503;20160912;0,01;0,4
PO;100;27398;23;;951075-1;SPRING PIN  3-28;5;PC;RA3A37;20160503;20160912;0,04;0,2
PO;100;27398;24;;961005-4;RETAINING RING S-9;30;PC;RK1B13;20160503;20160912;0,02;0,6
;;;;;;;;;;;;;771,95
