Makita Werkzeug Ges.m.b.H.                                   UIDNr: AT414679800;;;;;;;;;;;;;
Kolpingstrasse 13                                            ARA-LizenzNr.: 2516;;;;;;;;;;;;;
1230 Vienna - AUSTRIA;;;;;;;;;;;;;
;;;;;;;;;;;;;
ETD:;;;;;;;;;;;;;
ETA:;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
PID;PVEND;PORD;PLINE;I1DES1;PPROD;IDSCE;PQORD;PUM;I01DLOC;ENTRYDATE;DUEDATE;PECST;TOTAL
PO;100;27353;52;;792533-6;SIDE BLADE SET;20;SE;I/A5B1;20160502;20160912;14,27;285,4
PO;100;27353;53;;792534-4;CENTER BLADE;20;PC;I/A5D1;20160502;20160912;19,65;393
PO;100;27353;54;;792536-0;SIDE BLADE SET;40;SE;I/A5A2;20160502;20160912;14,27;570,8
PO;100;27353;55;;792537-8;CENTER BLADE;40;PC;I/A5C1;20160502;20160912;25,66;1026,4
PO;100;27353;56;;792556-4;BAND SAW BLADE 18;50;PC;Q/T5A1;20160502;20160912;5,95;297,5
PO;100;27353;57;;792704-5;SHEAR BLADE (U);10;PC;I/A8A1;20160502;20160912;9,76;97,6
PO;100;27353;58;;792728-1;PUNCH;10;PC;I/A4A1;20160502;20160912;8,38;83,8
PO;100;27353;59;;792731-2;DIAMOND WHEEL 80-325N;5;PC;G/B6D;20160502;20160912;37,81;189,05
PO;100;27353;60;;793008-8;PLANER BLADE 110;150;SE;C/A6B;20160502;20160912;3,94;591
PO;100;27353;61;;793186-4;PLANER BLADE 170;150;SE;C/A6D;20160502;20160912;8,08;1212
PO;100;27353;62;;794384-3;NYLON BRUSH WHEEL 120-80;50;PC;13B09A;20160502;20160912;49,85;2492,5
PO;100;27353;63;;794558-6;Sponge Pad;20;PC;P/A5A1;20160502;20160912;4,68;93,6
PO;100;27353;64;;794560-9;Wool Pad     140 mm;10;PC;P/A5B1;20160502;20160912;4,48;44,8
PO;100;27353;65;;824786-0;PLASTIC CARRYING CASE;10;PC;I/D5A;20160502;20160912;12,4;124
;;;;;;;;;;;;;22856,55
